ID,Ticker,DateKey,AccountsPayable,AccountsReceivable,Addlincomeexpenseitems,AfterTaxROE,CapitalExpenditures,CapitalSurplus,CashRatio,CashandCashEquivalents,ChangesinInventories,CommonStocks,CostofRevenue,CurrentRatio,DeferredAssetCharges,DeferredLiabilityCharges,Depreciation,EarningsBeforeInterestandTax,EarningsBeforeTax,EffectofExchangeRate,EquityEarningsLossUnconsolidatedSubsidiary,FixedAssets,Goodwill,GrossMargin,GrossProfit,IncomeTax,IntangibleAssets,InterestExpense,Inventory,Investments,Liabilities,LongTermDebt,LongTermInvestments,MinorityInterest,MiscStocks,NetBorrowings,NetCashFlow,NetCashFlowOperating,NetCashFlowsFinancing,NetCashFlowsInvesting,NetIncome,NetIncomeAdjustments,NetIncomeApplicabletoCommonShareholders,NetIncomeContOperations,NetReceivables,NonRecurringItems,OperatingIncome,OperatingMargin,OtherAssets,OtherCurrentAssets,OtherCurrentLiabilities,OtherEquity,OtherFinancingActivities,OtherInvestingActivities,OtherLiabilities,OtherOperatingActivities,OtherOperatingItems,PreTaxMargin,PreTaxROE,ProfitMargin,QuickRatio,ResearchandDevelopment,RetainedEarnings,SaleandPurchaseofStock,SalesGeneralandAdmin.,ShortTermDebtCurrentPortionofLongTermDebt,ShortTermInvestments,TotalAssets,TotalCurrentAssets,TotalCurrentLiabilities,TotalEquity,TotalLiabilities,TotalLiabilitiesEquity,TotalRevenue,TreasuryStock,ForYear,EarningsPerShare,EstimatedSharesOutstanding,Fund_ID,Broker_ID
19,ABC,30-09-2016,24670159000.0,-912724000,5048000,67,-464616000,4333001000.0,11.0,2741832000.0,-1107252000,2778000.0,143000000000.0,90.0,0,2214774000,392166000,1530822000,1390910000,0,0,1530682000.0,5991497000.0,3,4272606000.0,-37019000,2967849000.0,139912000,10723920000,40712000.0,3094340000,3870244000.0,0.0,0,0,713214000,574390000,3178497000.0,565072000.0,-3169179000.0,1427929000,330197000,1427929000,1427929000,9175876000,0,1525774000,1,314325000.0,210219000,0.0,-114308000,0,-2745275000,160470000.0,-46159000,364735000,1,65,1,48.0,0,2303941000.0,168903000,2382097000,611149000.0,0.0,33656200000.0,22851847000.0,25281308000,2129404000.0,31526796000.0,33656200000.0,147000000000.0,-4396008000.0,2016.0,6.73,212173699.9,18,18
20,ABT,31-12-2012,10889000000.0,36000000,-1260000000,22,-1795000000,0.0,114.0,10802000000.0,-417000000,11755000000.0,8899000000.0,236.0,3213000000,0,2782000000,100000000,-220000000,40000000,0,8063000000.0,15774000000.0,53,10151000000.0,-457000000,8588000000.0,320000000,3793000000,-3062000000.0,-1443000000,18085000000.0,274000000.0,92000000,0,4413000000,3989000000,9314000000.0,195000000.0,-5560000000.0,5963000000,2428000000,5963000000,237000000,10599000000,0,1360000000,7,0.0,1757000000,0.0,-3594000000,-521000000,-703000000,9057000000.0,-35000000,595000000,1,1,31,207.0,1461000000,24151000000.0,-514000000,6735000000,2391000000.0,4372000000.0,67235000000.0,31323000000.0,13280000000,26721000000.0,40514000000.0,67235000000.0,19050000000.0,-5591000000.0,2012.0,3.76,1585904255.0,78,28
21,ABT,31-12-2013,5948000000.0,-113000000,53000000,10,-1145000000,0.0,85.0,3475000000.0,-154000000,12048000000.0,9193000000.0,202.0,2109000000,0,1719000000,2186000000,2041000000,-26000000,0,5971000000.0,9772000000.0,53,10464000000.0,53000000,5735000000.0,145000000,2693000000,-2225000000.0,-1101000000,3388000000.0,119000000.0,96000000,0,1792000000,-7327000000,3324000000.0,-6696000000.0,-3929000000.0,2576000000,266000000,2576000000,1988000000,6514000000,0,2133000000,11,0.0,1942000000,386000000.0,-2012000000,-6396000000,-559000000,4791000000.0,131000000,588000000,10,8,13,174.0,1371000000,21979000000.0,-1210000000,6372000000,3173000000.0,4623000000.0,42953000000.0,19247000000.0,9507000000,25171000000.0,17782000000.0,42953000000.0,19657000000.0,-6844000000.0,2013.0,1.64,1570731707.0,1,1
22,ABT,31-12-2014,5350000000.0,-195000000,69000000,11,-1077000000,0.0,43.0,4063000000.0,-297000000,12383000000.0,9218000000.0,130.0,3288000000,0,1548000000,2668000000,2518000000,-143000000,0,7869000000.0,10067000000.0,54,11029000000.0,797000000,6198000000.0,150000000,2643000000,4117000000.0,-28000000,3393000000.0,229000000.0,113000000,0,766000000,588000000,3675000000.0,-2742000000.0,-202000000.0,2284000000,333000000,2284000000,1721000000,3586000000,0,2599000000,13,0.0,2867000000,680000000.0,-5053000000,-400000000,-3242000000,5708000000.0,30000000,555000000,12,12,11,104.0,1345000000,22874000000.0,-1766000000,6530000000,4437000000.0,397000000.0,41207000000.0,13556000000.0,10467000000,21526000000.0,19681000000.0,41207000000.0,20247000000.0,-8678000000.0,2014.0,1.5,1522666667.0,62,12
23,ABT,31-12-2015,5683000000.0,-171000000,479000000,21,-1110000000,0.0,67.0,5001000000.0,-257000000,12734000000.0,8747000000.0,154.0,2119000000,0,1472000000,3346000000,3183000000,-198000000,0,5732000000.0,9638000000.0,57,11658000000.0,577000000,5562000000.0,163000000,2599000000,-821000000.0,215000000,5871000000.0,4041000000.0,115000000,0,1147000000,938000000,2966000000.0,-2236000000.0,406000000.0,4423000000,-2773000000,4423000000,2606000000,3418000000,0,2867000000,14,0.0,2013000000,373000000.0,-6658000000,-17000000,2337000000,4864000000.0,57000000,601000000,16,15,22,126.0,1405000000,25757000000.0,-1923000000,6785000000,3130000000.0,1124000000.0,41247000000.0,14155000000.0,9186000000,21211000000.0,20036000000.0,41247000000.0,20405000000.0,-10622000000.0,2015.0,2.94,1504421769.0,10,10
24,ADBE,29-11-2013,729257000.0,33649000,926000,4,-188358000,3392696000.0,208.0,834556000.0,0,61000.0,586557000.0,265.0,0,428902000,321227000,423649000,356141000,-5241000,0,659774000.0,4771981000.0,86,3468683000.0,66156000,605254000.0,67508000,0,-309116000.0,184502000,1499297000.0,207239000.0,0,0,-176000,-590496000,1151686000.0,-559138000.0,-1177803000.0,289985000,377832000,289985000,289985000,702067000,26497000,422723000,10,90121000.0,170110000,781715000.0,46103000,0,-680329000,201817000.0,-55509000,52254000,9,5,7,265.0,826631000,6928964000.0,-599224000,2140578000,14676000.0,2339196000.0,10380298000.0,4045929000.0,1525648000,6724634000.0,3655664000.0,10380298000.0,4055240000.0,-3643190000.0,2013.0,0.58,499974137.9,74,24
25,ADBE,28-11-2014,776163000.0,7928000,8423000,4,-148332000,3778495000.0,150.0,1117400000.0,0,61000.0,622080000.0,185.0,0,399716000,313590000,421108000,361376000,-6648000,0,785123000.0,4721962000.0,85,3524985000.0,92981000,469662000.0,59732000,0,-312573000.0,390070000,911086000.0,80439000.0,0,0,-14684000,282844000,1287482000.0,-507283000.0,-490707000.0,268395000,309417000,268395000,268395000,687079000,19883000,412685000,10,126315000.0,175758000,1115043000.0,-8094000,0,-29802000,204687000.0,-1918000,52424000,9,5,6,185.0,844353000,6924294000.0,-545834000,2195640000,603229000.0,2622091000.0,10785829000.0,4602328000.0,2494435000,6775905000.0,4009924000.0,10785829000.0,4147065000.0,-3918851000.0,2014.0,0.54,497027777.8,46,46
26,ADBE,27-11-2015,779356000.0,-79502000,34870000,9,-184936000,4184883000.0,180.0,876560000.0,0,61000.0,744317000.0,218.0,0,259303000,339473000,937965000,873781000,-21297000,0,787421000.0,5366881000.0,84,4051194000.0,244230000,510007000.0,64184000,0,-535197000.0,350908000,1907231000.0,80439000.0,0,0,387091000,-240840000,1469502000.0,-200687000.0,-1488358000.0,629551000,236773000,629551000,629551000,672006000,1559000,903095000,19,159832000.0,161802000,1434200000.0,-169080000,0,-768225000,344802000.0,-7701000,68649000,18,12,13,218.0,862730000,7253431000.0,-647103000,2215161000,0.0,3111524000.0,11726472000.0,4821892000.0,2213556000,7001580000.0,4724892000.0,11726472000.0,4795511000.0,-4267715000.0,2015.0,1.26,499643650.8,83,33
27,ADBE,02-12-2016,866016000.0,-160416000,11978000,16,-203805000,4616331000.0,169.0,1011315000.0,0,61000.0,819908000.0,208.0,0,286791000,331535000,1505580000,1435138000,-14234000,0,816264000.0,5406474000.0,86,5034522000.0,266356000,414405000.0,70442000,0,-707801000.0,551550000,1902068000.0,80439000.0,0,0,-108000,134755000,2199728000.0,-1090706000.0,-960033000.0,1168782000,379298000,1168782000,1168782000,833033000,-1508000,1493602000,26,149758000.0,245441000,1945619000.0,-173602000,0,-48427000,281785000.0,-71021000,78534000,25,19,20,208.0,975987000,8114517000.0,-1165703000,2487907000,0.0,3749985000.0,12707114000.0,5839774000.0,2811635000,7424835000.0,5282279000.0,12707114000.0,5854430000.0,-5132472000.0,,,,14,14
32,ADM,31-12-2012,9308000000.0,1753000000,235000000,7,-1240000000,0.0,35.0,5352000000.0,-1304000000,6134000000.0,86936000000.0,175.0,0,1267000000,869000000,2426000000,1981000000,0,476000000,10123000000.0,0.0,4,3623000000.0,589000000,759000000.0,445000000,13836000000,-445000000.0,1345000000,6456000000.0,3887000000.0,211000000,0,437000000,850000000,2332000000.0,-321000000.0,-1161000000.0,1375000000,156000000,1375000000,1851000000,3450000000,243000000,1715000000,2,605000000.0,6548000000,0.0,-450000000,-197000000,524000000,1289000000.0,-1879000000,0,2,10,2,94.0,0,13236000000.0,-100000000,1665000000,7685000000.0,576000000.0,45136000000.0,29762000000.0,16993000000,18920000000.0,26005000000.0,44925000000.0,90559000000.0,0.0,,,,12,12
33,ADM,31-12-2013,14135000000.0,296000000,155000000,7,-913000000,0.0,48.0,7082000000.0,2541000000,6136000000.0,85915000000.0,182.0,0,1448000000,909000000,2437000000,2024000000,0,411000000,10137000000.0,0.0,4,3889000000.0,670000000,561000000.0,413000000,11441000000,104000000.0,191000000,5347000000.0,4046000000.0,38000000,0,-2713000000,1407000000,5226000000.0,-3242000000.0,-577000000.0,1342000000,30000000,1342000000,1753000000,3224000000,259000000,1871000000,2,478000000.0,6350000000,0.0,-57000000,73000000,232000000,1105000000.0,-95000000,0,2,10,1,109.0,0,14077000000.0,-101000000,1759000000,1523000000.0,433000000.0,43752000000.0,28530000000.0,15658000000,20156000000.0,23558000000.0,43714000000.0,89804000000.0,0.0,2013.0,2.03,661083743.8,35,35
34,ADM,31-12-2014,15240000000.0,425000000,339000000,11,-894000000,0.0,42.0,5976000000.0,1274000000,5115000000.0,76433000000.0,167.0,0,1662000000,894000000,3467000000,3130000000,0,372000000,9851000000.0,0.0,6,4768000000.0,877000000,3392000000.0,337000000,9374000000,-105000000.0,1276000000,5528000000.0,4377000000.0,55000000,0,-1708000000,-2022000000,4962000000.0,-3577000000.0,-3407000000.0,2248000000,-445000000,2248000000,2620000000,2704000000,105000000,2756000000,3,349000000.0,7459000000,230000000.0,-1241000000,95000000,-2408000000,1575000000.0,-715000000,0,4,16,3,107.0,0,15701000000.0,-1340000000,1907000000,132000000.0,515000000.0,43997000000.0,26028000000.0,15602000000,19575000000.0,24367000000.0,43942000000.0,81201000000.0,0.0,2014.0,3.44,653488372.1,42,42
35,ADM,31-12-2015,13407000000.0,913000000,392000000,10,-1125000000,0.0,49.0,6124000000.0,872000000,3180000000.0,63682000000.0,162.0,0,1563000000,882000000,2592000000,2284000000,0,390000000,9853000000.0,0.0,6,4020000000.0,438000000,3688000000.0,308000000,8243000000,35000000.0,-1693000000,5779000000.0,4340000000.0,16000000,0,240000000,-189000000,2481000000.0,-2649000000.0,-21000000.0,1849000000,-496000000,1849000000,2239000000,1738000000,200000000,1810000000,3,447000000.0,5286000000,0.0,-2146000000,-162000000,1069000000,1395000000.0,157000000,0,3,13,3,101.0,0,16865000000.0,-2040000000,2010000000,98000000.0,438000000.0,40157000000.0,21829000000.0,13505000000,17899000000.0,22242000000.0,40141000000.0,67702000000.0,0.0,2015.0,2.99,618394648.8,68,18
36,ADS,31-12-2012,490095000.0,-49219000,0,80,-116455000,1454230000.0,28.0,1386042000.0,0,950000.0,2392091000.0,181.0,30027000,471092000,274263000,974364000,682904000,5280000,0,253028000.0,1751053000.0,34,1249299000.0,260648000,582874000.0,291460000,0,-1389770000.0,90743000,4708486000.0,0.0,0,0,2334253000,677139000,1134190000.0,2209019000.0,-2671350000.0,422256000,438242000,422256000,422256000,7575052000,0,974364000,27,251014000.0,171049000,2265359000.0,-21861000,-22000,-1165125000,1259297000.0,-42095000,166876000,19,129,12,181.0,0,1553260000.0,-105144000,108059000,2277323000.0,0.0,12000139000.0,9132143000.0,5032777000,528487000.0,11471652000.0,12000139000.0,3641390000.0,-2458092000.0,2012.0,8.44,50030331.75,6,6
37,ADS,31-12-2013,472326000.0,-33414000,0,58,-135376000,1512752000.0,33.0,1480171000.0,0,983000.0,2894917000.0,230.0,2454000,446505000,307288000,1098912000,793412000,-11758000,0,299188000.0,1735703000.0,33,1424146000.0,297242000,460404000.0,305500000,0,-1453163000.0,5520000,6002708000.0,0.0,0,0,928674000,76470000,1003492000.0,704152000.0,-1619416000.0,496170000,447854000,496170000,496170000,8680730000,0,1098912000,25,345666000.0,239941000,2650683000.0,-18227000,-22000,-30877000,1426785000.0,-219926000,216119000,18,93,11,230.0,0,2049430000.0,-216995000,109115000,1389489000.0,0.0,13244257000.0,10400842000.0,4512498000,855761000.0,12388496000.0,13244257000.0,4319063000.0,-2689177000.0,2013.0,10.09,49174430.13,13,13
38,ADS,31-12-2014,914058000.0,-156003000,0,21,-158694000,2905563000.0,25.0,1597492000.0,0,1117000.0,3643979000.0,219.0,164000,856982000,349810000,1098467000,837941000,-15854000,0,559628000.0,3865484000.0,31,1658961000.0,321801000,1515994000.0,260526000,0,-2379208000.0,188052000,8134248000.0,0.0,0,235566000,3808137000,107330000,1344159000.0,3516146000.0,-4737121000.0,506293000,590220000,506293000,506293000,11635875000,0,1098467000,21,507931000.0,581409000,4124511000.0,-75453000,-1476000,-2199219000,2335318000.0,-144060000,313082000,16,35,10,219.0,0,2540948000.0,-269555000,247412000,1266914000.0,0.0,20263977000.0,13814776000.0,6305483000,2396380000.0,17867597000.0,20263977000.0,5302940000.0,-2975795000.0,2014.0,8.72,58061123.85,85,35
39,ADS,31-12-2015,1010619000.0,8307000,0,30,-191683000,2981041000.0,25.0,1624601000.0,0,1121000.0,4482700000.0,254.0,617000,777420000,524467000,1261860000,931676000,-25309000,0,576706000.0,3814078000.0,30,1957046000.0,326248000,1203745000.0,330184000,0,-2899032000.0,98026000,10136018000.0,0.0,0,167377000,3009130000,90885000,1705841000.0,1772901000.0,-3362548000.0,596541000,638239000,596541000,596541000,14052456000,0,1261860000,20,576267000.0,573360000,3975291000.0,-137251000,-205928000,-271833000,2925426000.0,-168626000,492140000,14,46,9,254.0,0,3092464000.0,-1020923000,203046000,1419649000.0,0.0,22421830000.0,16250417000.0,6405559000,2010030000.0,20411800000.0,22421830000.0,6439746000.0,-3927345000.0,2015.0,8.91,66951851.85,68,18
40,ADSK,31-01-2013,396700000.0,-98100000,0,12,-56400000,0.0,187.0,1612200000.0,0,1449800000.0,238500000.0,245.0,122800000,187600000,127800000,310000000,310000000,2000000,0,114900000.0,871500000.0,90,2073700000.0,62600000,76000000.0,0,0,-300000000.0,85000000,745600000.0,411100000.0,0,0,745600000,455300000,559100000.0,541400000.0,-647200000.0,247400000,194000000,247400000,247400000,537300000,43900000,305900000,13,159700000.0,60800000,647000000.0,-5700000,-6100000,-290800000,288300000.0,3000000,42100000,13,15,11,245.0,600000000,599100000.0,-211000000,1081800000,0.0,342100000.0,4308400000.0,2552400000.0,1043700000,2043200000.0,2265200000.0,4308400000.0,2312200000.0,0.0,2013.0,1.09,226972477.1,17,17
41,ADSK,31-01-2014,375300000.0,72300000,0,10,-64200000,0.0,212.0,1853000000.0,0,1637300000.0,274300000.0,265.0,131100000,204400000,128900000,284800000,279900000,-2200000,0,130300000.0,1009900000.0,88,1999600000.0,51100000,63100000.0,4900000,0,64900000.0,46400000,746400000.0,277300000.0,0,0,0,240800000,563500000.0,-126500000.0,-194000000.0,228800000,70400000,228800000,228800000,480500000,12800000,284800000,13,148300000.0,87400000,696200000.0,-600000,-24600000,-194700000,311200000.0,16700000,36500000,12,12,10,265.0,611100000,624800000.0,-111000000,1054400000,0.0,414100000.0,4595000000.0,2835000000.0,1071500000,2261500000.0,2333500000.0,4595000000.0,2273900000.0,0.0,2014.0,1.02,224313725.5,63,13
44,AEE,31-12-2012,671000000.0,30000000,33000000,15,-1063000000,5616000000.0,7.0,184000000.0,-28000000,2000000.0,3477000000.0,134.0,0,3899000000,736000000,1221000000,829000000,0,0,15348000000.0,411000000.0,40,2304000000.0,307000000,14000000.0,392000000,570000000,-19000000.0,-56000000,5802000000.0,408000000.0,151000000,0,-26000000,-46000000,1690000000.0,-426000000.0,-1310000000.0,-974000000,2025000000,-974000000,522000000,886000000,0,1188000000,21,2453000000.0,1956000000,1568000000.0,-8000000,-12000000,-228000000,3076000000.0,-43000000,673000000,14,13,17,113.0,0,1006000000.0,-16000000,443000000,447000000.0,0.0,22230000000.0,3596000000.0,2686000000,6616000000.0,15614000000.0,22230000000.0,5781000000.0,0.0,2012.0,-4.01,242892768.1,35,35
45,AEE,31-12-2013,947000000.0,-60000000,43000000,5,-1379000000,5632000000.0,1.0,30000000.0,60000000,2000000.0,3490000000.0,80.0,0,3851000000,761000000,1227000000,829000000,0,0,16205000000.0,411000000.0,40,2348000000.0,311000000,0.0,398000000,526000000,-17000000.0,-156000000,5504000000.0,494000000.0,142000000,0,247000000,-179000000,1693000000.0,-149000000.0,-1723000000.0,295000000,703000000,295000000,518000000,1010000000,0,1184000000,20,1960000000.0,406000000,612000000.0,3000000,-2000000,-327000000,2540000000.0,90000000,706000000,14,13,5,59.0,0,907000000.0,-2000000,458000000,902000000.0,0.0,21042000000.0,1972000000.0,2461000000,6544000000.0,14498000000.0,21042000000.0,5838000000.0,0.0,2013.0,1.19,247899159.7,47,47
