Ticker,Sector
QRVO,Technology
R,Industrials
RCL,Consumer Cyclical
REGN,Healthcare
RHI,Industrials
RHT,Error retrieving data
RL,Consumer Cyclical
ROK,Industrials
ROP,Technology
ROST,Consumer Cyclical
RRC,Energy
RSG,Industrials
SBUX,Consumer Cyclical
SCG,N/A
SCHW,Financial Services
SE,Consumer Cyclical
SEE,Consumer Cyclical
SHW,Basic Materials
SIG,Consumer Cyclical
SJM,Consumer Defensive
SLG,Real Estate
SNA,Industrials
SNI,N/A
SO,Utilities
SPG,Real Estate
SPGI,Financial Services
SPLS,N/A
SRCL,Error retrieving data
SRE,Utilities
STI,Industrials
STT,Financial Services
STX,Technology
STZ,Consumer Defensive
SWK,Industrials
SWKS,Technology
SWN,N/A
SYF,Financial Services
SYK,Healthcare
SYMC,Error retrieving data
SYY,Consumer Defensive
T,Communication Services
TAP,Consumer Defensive
TDC,Technology
TDG,Industrials
TEL,Technology
TGNA,Communication Services
TGT,Consumer Defensive
TIF,N/A
TJX,Consumer Cyclical
TMK,Error retrieving data
TMO,Healthcare
TRIP,Consumer Cyclical
TRV,Financial Services
TSCO,Consumer Cyclical
TSN,Consumer Defensive
TSO,N/A
TSS,N/A
TXN,Technology
TXT,Industrials
UA,Consumer Cyclical
UAA,Consumer Cyclical
UAL,Industrials
UDR,Real Estate
UHS,Healthcare
ULTA,Consumer Cyclical
UNH,Healthcare
UNM,Financial Services
UNP,Industrials
UPS,Industrials
URBN,Consumer Cyclical
USB,Financial Services
UTX,N/A
V,Financial Services
VAR,N/A
VFC,Consumer Cyclical
VIAB,Error retrieving data
VLO,Energy
VMC,Basic Materials
VNO,Real Estate
VRSK,Industrials
VRSN,Technology
VRTX,Healthcare
VTR,Real Estate
VZ,Communication Services
WAT,Healthcare
WDC,Technology
WEC,Utilities
WFC,Financial Services
WFM,N/A
WHR,Consumer Cyclical
WLTW,N/A
WM,Industrials
WMB,Energy
WMT,Consumer Defensive
WRK,Error retrieving data
WU,Financial Services
WY,Real Estate
WYN,N/A
WYNN,Consumer Cyclical
XEC,N/A
XEL,Utilities
XL,N/A
XLNX,N/A
XOM,Energy
XRAY,Healthcare
XRX,Technology
XYL,Industrials
YHOO,Error retrieving data
YUM,Consumer Cyclical
ZBH,Healthcare
ZION,Financial Services
ZTS,Healthcare
